file,references,mechanisms,directAccess,keys
assets/js/city/city-prepared-action.js,localStorage,localStorage,true,eon-city-mirror|eon.city.prepared-action.v1|eon:city:prepared-actions:v1
assets/js/city/city-preview-evidence.js,localStorage,localStorage,true,eon-city-preview-${session.id}.json|eon.city.preview-evidence.w259.v1|eon:city:preview-evidence:w259:v1
assets/js/city/city-sensory-preferences.js,localStorage,localStorage,true,eon.city.sensory-preferences.w273.v1|eon:city:sensory-preferences:v1
assets/js/city/city-work-mission.js,localStorage,localStorage,true,eon.city.work-mission.v1|eon:city:work-missions:v1
assets/js/city/city-world-state.js,localStorage,localStorage,true,eon-city|eon:city:state:v0|eon:city:world-state:v1|eon:operator-map:state:v1
assets/js/city/eon-city-3d-model.js,localStorage,localStorage,true,eon.city.webgl-renderer.v2|eon:city:3d:preferences:v1
assets/js/city/eon-city-3d-proof.js,localStorage,localStorage,true,eon.city.webgl-proof.v1|eon:city:3d:local-proof:v1
assets/js/city/eon-city-access-station.js,localStorage,localStorage,true,eon-city-access-awaits|eon-city-access-awaits-title|eon-city-access-beacon|eon-city-access-enter-note|eon-city-access-hero-copy|eon-city-access-lead|eon-city-access-note|eon-city-access-rain|eon-city-access-skyline|eon-city-access-station|eon-city-access-title|eon-city-access-trust|eon-city-access-world|eon-city-access-world-label|eon-city-reduced-loading-overlay|eon-city-reduced-quality|eon-city-reduced-runtime-status|eon-play-kicker|eon-play-primary|eon-play-secondary|eon:city:quality-preference:v1|eonCityMove
assets/js/city/eon-city-accessibility-device-system.js,localStorage,localStorage,true,eon-city-accessibility-actions|eon-city-accessibility-device-card|eon-city-accessibility-device-panel|eon-city-accessibility-title|eon-play-kicker|eon.city.accessibility-device.w624k.v1|eon:city:accessibility-device:w624k:v1
assets/js/city/eon-city-asset-cache-policy.js,caches,CacheStorage,true,eon.city.asset-cache.w766ir2-d.v1|eonapp-city-assets-v1
assets/js/city/eon-city-boot-diagnostics.js,sessionStorage,sessionStorage,true,eon.city.boot-diagnostics.w427.v1|eon:city:boot-diagnostics:v1
assets/js/city/eon-city-command-district.js,localStorage,localStorage,true,EONBOT|eon.city.command-district.w366.v1|eon:city:command-district:v1|eonbot
assets/js/city/eon-city-eonbot-quick-work.js,sessionStorage,sessionStorage,true,EONBOT|eon-city-eonbot-actions|eon-city-eonbot-composer-label|eon-city-eonbot-handoff|eon-city-eonbot-prepared-route|eon-city-eonbot-quick|eon-city-eonbot-quick-head|eon-city-eonbot-quick-replies|eon-city-eonbot-status|eon-city-eonbot-thread|eon-city-eonbot-truth|eon-play-eonbot-title|eon-play-kicker|eon-play-primary|eon.city.eonbot.quick-work.w659g.v2|eon:chat:pending-composer-prompt:v1|eonbot.real-reply|eoncity-quick|eoncity-quick-work
assets/js/city/eon-city-fairness-safety.js,localStorage,,false,eon-play-command-deck-card|eon-play-command-deck-grid|eon-play-command-deck-note|eon-play-fairness-title|eon-play-kicker|eon.city.fairness-safety.w565.v1|eonbotOutboundWithoutConsent
assets/js/city/eon-city-first-run.js,localStorage,localStorage,true,eon.city.first-run.review.w592.v1|eon.city.first-run.w479.v1|eon:city:first-run:w479:v1
assets/js/city/eon-city-genuine-agent-theatre.js,localStorage,localStorage,true,eon.city.agent-theatre-receipt.w624i.v1|eon.city.genuine-agent-theatre.w624i.v1|eon:city:genuine-agent-theatre|eon:city:genuine-agent-theatre:w624i:v1
assets/js/city/eon-city-lite-art-direction.js,localStorage,localStorage,true,eon.city.lite-art-direction.v1|eon:city:lite:visual-preferences:v1
assets/js/city/eon-city-living-nexus-encounters.js,localStorage,localStorage,true,eon-living-nexus-encounter|eon.city.living-nexus-encounters.w660s.v1|eon:city:living-nexus:encounters:w660s:v1|eoncity-living-nexus
assets/js/city/eon-city-living-nexus-hybrid.js,localStorage,localStorage,true,eon-living-nexus|eon.city.expanse-streaming.w667.v1|eon.city.living-nexus-hybrid.w660p.v1|eon:city:living-nexus:w660p:v1|eoncity-living-nexus
assets/js/city/eon-city-living-nexus-panel.js,sessionStorage,sessionStorage,true,eon-play-kicker|eon-play-living-nexus-actions|eon-play-living-nexus-advanced|eon-play-living-nexus-advanced-body|eon-play-living-nexus-atlas|eon-play-living-nexus-card|eon-play-living-nexus-cell-detail|eon-play-living-nexus-cells|eon-play-living-nexus-journey|eon-play-living-nexus-journey-copy|eon-play-living-nexus-panel|eon-play-living-nexus-portal|eon-play-living-nexus-primary-action|eon-play-living-nexus-quick-facts|eon-play-living-nexus-rare-shortcut|eon-play-living-nexus-realm-atlas|eon-play-living-nexus-realm-index|eon-play-living-nexus-review|eon-play-living-nexus-section-head|eon-play-living-nexus-title|eon-play-living-nexus-transformations|eon-play-living-nexus-window-actions|eon-play-living-nexus-world-systems|eon:city:living-nexus:product-menu-ready|eon:city:living-nexus:realm-atlas-result|eon:city:living-nexus:record-realm-discovery|eon:city:living-nexus:record-realm-visit|eon:city:living-nexus:sync-request|eon:city:living-nexus:sync-result
assets/js/city/eon-city-living-nexus-realms.js,localStorage,localStorage,true,eon.city.living-nexus-realms.w660v.v1|eon.city.living-nexus-realms.w660x.premium.v1
assets/js/city/eon-city-membership-map.js,localStorage,,false,eon-free|eon-max|eon-play-command-deck-card|eon-play-command-deck-note|eon-play-kicker|eon-play-membership-tier|eon-play-membership-title|eon-plus|eon-power|eon-studio|eon.city.membership-map.w557.v1
assets/js/city/eon-city-performance-lab.js,localStorage,localStorage,true,eon.city.performance-lab.w371.v1|eon:city:performance-lab:v1
assets/js/city/eon-city-play-lightweight.js,sessionStorage,sessionStorage,true,eon-play-canvas|eon.city.lightweight-runtime.w659j.v1|eon:city:boot-trace:w659h:v1
assets/js/city/eon-city-productive-rpg-loop.js,localStorage,localStorage,true,eon.city.productive-rpg-loop.w624g.v1|eon:city:productive-rpg:w624g:v1
assets/js/city/eon-city-project-district-manifest.js,localStorage,localStorage,true,eon.city.project-district-manifest.w438.v1|eon:city:project-districts:v1
assets/js/city/eon-city-resume-travel.js,localStorage,localStorage,true,eon-play-command-deck-card|eon-play-command-deck-note|eon-play-kicker|eon-play-resume-title|eon-play-travel-title|eon.city.resume-travel.w559.v1|eon:city:world-state:resume:v1
assets/js/city/eon-city-truthful-command-center.js,localStorage,localStorage,true,eon.city.truthful-command-center.w624h.v1
assets/js/city/eon-city-validation-lab.js,localStorage,localStorage,true,eon.city.validation-lab.w410.v1|eon:city:validation-lab:v1
assets/js/city/eon-city-vault-reveals.js,localStorage,localStorage,true,eon-play-command-deck-card|eon-play-command-deck-grid|eon-play-command-deck-note|eon-play-cosmetic-review|eon-play-cosmetics-title|eon-play-kicker|eon.city.vault-reveals.w564.v1|eon:city:cosmetics:v1|eonbot-companion-style
assets/js/city/eon-signal-expeditions.js,sessionStorage,sessionStorage,true,eon.city.signal-expeditions.w413.v1|eon:city:signal-expedition:v1
assets/js/city/w659g/eon-city-w659g-progression-ledger.js,localStorage,localStorage,true,eon.city.w659g.progression.v1|eon:city:progression:w659g:v1|eon:city:verified-action|eonbot-skin|eonbot.real-reply
